catalogNumber;basisOfRecord;decimalLatitude;decimalLongitude;Class;order;family;genus;specificEpithet;infraspecificEpithet;nameAcordingTo;verbatimTaxonRank;taxonRank;acceptedNameUsage;;;establishmentMeans;;;locationRemarks;sex
AA0118;;348646;6284254;Magnoliopsida;Lamiales;Bignoniaceae;Catalpa;speciosa;;Engelm.;;;Catalpa speciosa (Warder) Engelm.;ACCEPTED;Viva;Exotica;2019;;;
AA0119;;348649;6284255;Magnoliopsida;Lamiales;Bignoniaceae;Catalpa;speciosa;;Engelm.;;;Catalpa speciosa (Warder) Engelm.;ACCEPTED;Viva;Exotica;2019;;;
AA0120;;348653;6284255;Magnoliopsida;Lamiales;Bignoniaceae;Catalpa;speciosa;;Engelm.;;;Catalpa speciosa (Warder) Engelm.;ACCEPTED;Viva;Exotica;2019;;;
AA0121;;348646;6284250;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0122;;348655;6284252;Magnoliopsida;Lamiales;Bignoniaceae;Catalpa;speciosa;;Engelm.;;;Catalpa speciosa (Warder) Engelm.;ACCEPTED;Viva;Exotica;2019;;;
AA0123;;348621;6284274;Magnoliopsida;Celastrales;Celastraceae;Maytenus;boaria;;Molina.;;;Maytenus boaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0124;;348615;6284280;Magnoliopsida;Rosales;Rosaceae;Prunus;cerasifera;Pissardi;Ehrh.;var.;varietas;Prunus cerasifera Ehrh.;ACCEPTED;Viva;Exotica;2019;;;
AA0125;;348613;6284280;Magnoliopsida;Lamiales;Bignoniaceae;Catalpa;speciosa;;Engelm.;;;Catalpa speciosa (Warder) Engelm.;ACCEPTED;Viva;Exotica;2019;;;
AA0126;;348624;6284280;Magnoliopsida;Fagales;Betulaceae;Betula;pendula;;Roth;;;Betula pendula Roth;ACCEPTED;Viva;Exotica;2019;;;
AA0127;;348640;6284280;Magnoliopsida;Fabales;Fabaceae;Gleditsia;triacanthos;;L.;;;Gleditsia triacanthos L.;ACCEPTED;Viva;Exotica;2019;;;
