catalogNumber,catalogNumber,basisOfRecord,decimalLatitude,decimalLongitude,phylum,Class,order,family,genus,specificEpithet,infraspecificEpithet,nameAcordingTo,verbatimTaxonRank,taxonRank,acceptedNameUsage,Nombre común,Estado,establishmentMeans,ingreso,plantacion,sex
AA0078,AA0078,LivingSpecimen,348605,6284196,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,ornus,,L.,,species,Fraxinus ornus L.,,Viva,Exótica,2019,,hermaphrodite
AA0079,AA0079,LivingSpecimen,348609,6284199,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus,,,L.,sp.,genus,Ulmus  L.,,Viva,Exótica,2019,,hermaphrodite
AA0080,AA0080,LivingSpecimen,348605,6284200,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus,,,L.,sp.,genus,Ulmus  L.,,Viva,Exótica,2019,,hermaphrodite
AA0081,AA0081,LivingSpecimen,348601,6284200,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,excelsior,,L.,,species,Fraxinus excelsior L.,,Viva,Exótica,2019,,hermaphrodite
AA0082,AA0082,LivingSpecimen,348600,6284196,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,ornus,,L.,,species,Fraxinus ornus L.,,Viva,Exótica,2019,,hermaphrodite
AA0083,AA0083,LivingSpecimen,348595,6284197,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,ornus,,L.,,species,Fraxinus ornus L.,,Viva,Exótica,2019,,hermaphrodite
AA0084,AA0084,LivingSpecimen,348596,6284201,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,excelsior,,L.,,species,Fraxinus excelsior L.,,Viva,Exótica,2019,,hermaphrodite
AA0085,AA0085,LivingSpecimen,348592,6284202,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus,,,L.,sp.,genus,Ulmus  L.,,Viva,Exótica,2019,,hermaphrodite
AA0086,AA0086,LivingSpecimen,348591,6284198,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,ornus,,L.,,species,Fraxinus ornus L.,,Viva,Exótica,2019,,hermaphrodite
AA0087,AA0087,LivingSpecimen,348585,6284199,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,ornus,,L.,,species,Fraxinus ornus L.,,Viva,Exótica,2019,,hermaphrodite
AA0088,AA0088,LivingSpecimen,348585,6284202,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,excelsior,,L.,,species,Fraxinus excelsior L.,,Viva,Exótica,2019,,hermaphrodite
AA0089,AA0089,LivingSpecimen,348581,6284203,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,excelsior,,L.,,species,Fraxinus excelsior L.,,Viva,Exótica,2019,,hermaphrodite
AA0090,AA0090,LivingSpecimen,348580,6284199,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,ornus,,L.,,species,Fraxinus ornus L.,,Viva,Exótica,2019,,hermaphrodite
